iter	Passed	Remaining
0	1	132
1	3	176
2	4	151
3	5	134
4	6	124
5	7	115
6	8	109
7	9	105
8	9	101
9	10	96
10	11	92
11	12	89
12	13	87
13	13	85
14	14	84
15	16	84
16	16	82
17	17	80
18	18	78
19	19	76
20	20	75
21	20	73
22	21	72
23	22	71
24	23	70
25	24	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	58
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	36	51
42	37	49
43	38	48
44	39	47
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	37
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
